agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu,county_name,county_fips
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,dv,00010,00002,10336,,wat,,1645597,0,1970-12-01,1978-10-05,2384,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,dv,00060,00003,10337,,wat,,1645423,0,1901-02-01,1978-09-29,10832,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,pk,,,0,,wat,,0,0,1901-02-19,1978-01-14,30,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,,,0,,wat,ALL,0,0,1964-03-02,1966-09-01,31,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00060,,0,,wat,PHY,1645423,0,1964-03-02,1966-09-01,31,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00095,,0,,wat,PHY,1646694,0,1964-03-02,1966-09-01,31,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00191,,0,,wat,INN,1640572,0,1964-03-02,1966-09-01,31,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00400,,0,,wat,PHY,17028275,0,1964-03-02,1966-09-01,31,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00405,,0,,wat,INN,33548,0,1964-03-02,1966-09-01,31,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00410,,0,,wat,INN,1640192,0,1964-04-01,1966-09-01,30,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00440,,0,,wat,INN,4788,0,1964-03-02,1966-09-01,31,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00445,,0,,wat,INN,119396,0,1964-03-02,1966-09-01,31,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00618,,0,,wat,NUT,197186,0,1964-05-01,1966-09-01,16,Glenn,06021
