URL,Publication ID,Index ID,Publication type,Publication Subtype,Display title,Title,Series title,Series number,Subseries,Chapter,Sub-chapter,ISSN (online),ISSN (print),ISBN,DOI,Edition,Volume,Issue,Year Published,No Year Published,Language,Publisher,Publisher location,Contributing office(s),Description,Larger Work Type,Larger Work Subtype,Larger Work Title,First page,Last page,Number of Pages,Public Comments,Time Range Start,Time Range End,Conference Title,Conference Location,Conference Date,Country,State,County,City,Other Geospatial,Datum,Projection,Scale,Online Only (Y/N),Additional Online Files(Y/N),Author(s),Editor(s),Compiler(s),Number of Links,ScienceBase URI,CHORUS DOI,CHORUS URL,CHORUS Publisher,CHORUS Authors,CHORUS Journal Name,CHORUS Publication Date,CHORUS Audited On,CHORUS Publicly Accessible Date
https://pubs.usgs.gov/publication/wsp1619R,2556,wsp1619R,Report,USGS Numbered Series,,"Flow of springs and small streams in the Tecolote Tunnel area of Santa Barbara County, California",Water Supply Paper,1619,,R,,,,,10.3133/wsp1619R,,,,1962,false,English,U.S. Geological Survey,,,"Report: iv, 26 p.; 1 Plate: 22.00 x 18.00 inches",,,,,,,,,,,,,United States,California,Santa Barbara County,,Tecolote Tunnel,,,,,,"Rantz, S. E.",,,3,4f4e49d7e4b07f02db5dea24,,,,,,,,
https://pubs.usgs.gov/publication/ofr6291,23996,ofr6291,Report,USGS Numbered Series,,"Water levels in observation wells in Santa Barbara County, California, in 1961",Open-File Report,62-91,,,,2331-1258,0196-1497,,10.3133/ofr6291,-,,,1962,false,ENGLISH,"U.S. Dept. of the Interior, Geological Survey, Ground Water Branch,",,,"52 p., [9] leaves of plates :ill., maps ;27 cm.",,,,,,,,,,,,,,,,,,,,,,,"Muir, K. S.",,,0,4f4e4a08e4b07f02db5f9d6b,,,,,,,,
https://pubs.usgs.gov/publication/ofr6196,23879,ofr6196,Report,USGS Numbered Series,,"Water levels in observation wells in Santa Barbara County, California, in 1960",Open-File Report,61-96,,,,2331-1258,0196-1497,,10.3133/ofr6196,-,,,1961,false,ENGLISH,"U.S. Dept. of the Interior, Geological Survey, Ground Water Branch,",,,"51 p. :ill., map ;27 cm.",,,,,,,,,,,,,,,,,,,,,,,"Merritt, P.M.",,,0,4f4e4a08e4b07f02db5f9d5f,,,,,,,,
https://pubs.usgs.gov/publication/ofr61123,24284,ofr61123,Report,USGS Numbered Series,,"Flow of springs and small streams in the Tecolote Tunnel area of Santa Barbara County, California",Open-File Report,61-123,,,,2331-1258,0196-1497,,10.3133/ofr61123,,,,1961,false,English,U.S. Geological Survey,,,"Report: viii, 282 p.; Plate: 25.46 x 19.32 inches",,,,,,300,,,,,,,United States,California,Santa Barbara County,,,,,,N,N,"Rantz, S. E.",,,2,4f4e49d7e4b07f02db5de988,,,,,,,,
https://pubs.usgs.gov/publication/ofr60102,52119,ofr60102,Report,USGS Numbered Series,,"Water levels in observation wells in Santa Barbara County, California, in 1959",Open-File Report,60-102,,,,2331-1258,0196-1497,,10.3133/ofr60102,-,,,1960,false,ENGLISH,,,,21 p.,,,,,,,,,,,,,,,,,,,,,,,"Muir, K. S.; Merritt, P.M.; Miller, G.A.",,,0,4f4e4a08e4b07f02db5f9d57,,,,,,,,
https://pubs.usgs.gov/publication/ofr5983,23894,ofr5983,Report,USGS Numbered Series,,"Water levels in observation wells in Santa Barbara County, California, in 1958",Open-File Report,59-83,,,,2331-1258,0196-1497,,10.3133/ofr5983,-,,,1959,false,ENGLISH,"U.S. Dept. of the Interior, Geological Survey,",,,"43 p. :ill., maps ;27 cm.",,,,,,,,,,,,,,,,,,,,,,,"Miller, G.A.",,,0,4f4e4a08e4b07f02db5f9dfb,,,,,,,,
https://pubs.usgs.gov/publication/wsp1467,2993,wsp1467,Report,USGS Numbered Series,,"Ground-water appraisal of Santa Ynez River basin, Santa Barbara County, California, 1945-52",Water Supply Paper,1467,,,,,,,10.3133/wsp1467,-,,,1959,false,ENGLISH,"U.S. Govt. Print. Off.,",,,"vi, 119 p. :illus., maps (8 fold. in pocket) ;23 cm.",,,,,,,,,,,,,,,,,,,,,,,"Wilson, Harry Dennis",,,9,4f4e4ab0e4b07f02db66d3eb,,,,,,,,
https://pubs.usgs.gov/publication/ofr5836,23002,ofr5836,Report,USGS Numbered Series,,"Water levels in observation wells in Santa Barbara County, California, in 1957",Open-File Report,58-36,,,,2331-1258,0196-1497,,10.3133/ofr5836,-,,,1958,false,ENGLISH,"U.S. Dept. of the Interior, Geological Survey,",,,"46 p. ill., maps ;27 cm.",,,,,,,,,,,,,,,,,,,,,,,"Evenson, R. E.",,,1,4f4e4a08e4b07f02db5f9df6,,,,,,,,
https://pubs.usgs.gov/publication/ofr5778,23995,ofr5778,Report,USGS Numbered Series,,"Water levels in observation wells in Santa Barbara County, California, in 1956",Open-File Report,57-78,,,,2331-1258,0196-1497,,10.3133/ofr5778,-,,,1957,false,English,U.S. Geological Survey,,,77 p.,,,,,,,,,,,,,United States,California,Santa Barbara County,,,,,,,,"Muir, K. S.; Merritt, P.M.",,,1,4f4e4a08e4b07f02db5f9d70,,,,,,,,
https://pubs.usgs.gov/publication/ofr5789,56086,ofr5789,Report,USGS Numbered Series,,"Seventh progress report on the cooperative investigation of springs and streamflow in the Tecolote tunnel area of Santa Barbara County, California",Open-File Report,57-89,,,,2331-1258,0196-1497,,10.3133/ofr5789,,,,1957,false,English,U.S. Geological Survey,"Reston, VA",,138 p.,,,,,,138,,1954-07-01,1956-06-30,,,,United States,California,Santa Barbara County,,Tecolote Tunnel,,,50000,,,"Peterson, W. C.",,,1,4f4e49fbe4b07f02db5f4b58,,,,,,,,
