water_type_final,county_spatial,n_tables,n_measurements
Precipitation,Tehama,3,50.0
Precipitation,Trinity,3,51.0
Precipitation,Ventura,3,103.0
Precipitation,Butte,2,48.0
Precipitation,Calaveras,2,47.0
Precipitation,Marin,2,50.0
Precipitation,Monterey,2,37.0
Precipitation,San Luis Obispo,2,29.0
Precipitation,Stanislaus,2,110.0
Precipitation,Amador,1,6.0
Precipitation,Contra Costa,1,4.0
Precipitation,Kings,1,28.0
Precipitation,Orange,1,26.0
Precipitation,Sutter,1,14.0
Reservoir,Tuolumne,445,10496.0
Reservoir,Fresno,390,9386.0
Reservoir,Plumas,211,5008.0
Reservoir,Nevada,153,3415.0
Reservoir,Placer,137,3390.0
Reservoir,San Diego,129,2554.0
Reservoir,El Dorado,128,2721.0
Reservoir,Tulare,127,3453.0
Reservoir,Santa Clara,118,1592.0
Reservoir,Lake,113,2853.0
Reservoir,Mariposa,110,2815.0
Reservoir,Shasta,108,2657.0
Reservoir,Santa Barbara,96,1850.0
Reservoir,Madera,88,1963.0
Reservoir,Amador,76,1967.0
Reservoir,Riverside,76,1358.0
Reservoir,San Luis Obispo,75,1695.0
Reservoir,San Bernardino,74,1466.0
Reservoir,Butte,71,1662.0
Reservoir,Mono,70,1162.0
Reservoir,Calaveras,64,1658.0
Reservoir,Ventura,62,1198.0
Reservoir,Trinity,54,1300.0
Reservoir,Kern,52,1302.0
Reservoir,Mendocino,46,1605.0
Reservoir,Sacramento,45,1097.0
Reservoir,Imperial,41,553.0
Reservoir,Sierra,38,841.0
Reservoir,Tehama,31,909.0
Reservoir,Modoc,30,552.0
Reservoir,Siskiyou,29,697.0
Reservoir,San Joaquin,28,618.0
Reservoir,Kings,23,689.0
Reservoir,Orange,23,550.0
Reservoir,Merced,21,692.0
Reservoir,Napa,18,477.0
Reservoir,Solano,17,366.0
Reservoir,Stanislaus,17,573.0
Reservoir,Yuba,16,333.0
Reservoir,Lassen,15,465.0
Reservoir,Los Angeles,15,183.0
Reservoir,Yolo,15,427.0
Reservoir,Colusa,12,227.0
Reservoir,Inyo,11,307.0
Reservoir,Monterey,10,378.0
Reservoir,Sonoma,9,176.0
Reservoir,Humboldt,6,122.0
Reservoir,Del Norte,5,132.0
Reservoir,Glenn,5,275.0
Reservoir,Alpine,4,70.0
Reservoir,Contra Costa,3,18.0
Reservoir,Alameda,2,13.0
Reservoir,San Mateo,2,28.0
Reservoir,Santa Cruz,2,49.0
Reservoir,Marin,1,16.0
Reservoir,San Benito,1,14.0
Reservoir,San Francisco,1,8.0
Springs,Santa Barbara,360,7394.0
Springs,Imperial,26,596.0
Springs,Inyo,25,605.0
Springs,Riverside,23,434.0
Springs,Lake,17,301.0
Springs,Mono,17,244.0
Springs,Sonoma,16,263.0
Springs,Fresno,15,203.0
Springs,San Bernardino,15,290.0
Springs,Tulare,15,485.0
Springs,Los Angeles,14,370.0
Springs,San Luis Obispo,13,269.0
Springs,Kern,12,171.0
Springs,Napa,10,209.0
Springs,San Diego,10,88.0
Springs,Ventura,9,168.0
Springs,Placer,8,138.0
Springs,Monterey,6,68.0
Springs,Santa Clara,6,129.0
Springs,Siskiyou,6,115.0
Springs,Alameda,5,53.0
Springs,Colusa,5,58.0
Springs,Mendocino,5,54.0
Springs,Sacramento,5,168.0
Springs,Shasta,5,57.0
Springs,Lassen,4,51.0
Springs,Madera,4,110.0
Springs,Yolo,4,81.0
Springs,Butte,3,24.0
Springs,Calaveras,3,56.0
Springs,Solano,3,52.0
Springs,Tuolumne,3,106.0
Springs,Alpine,2,45.0
Springs,Contra Costa,2,56.0
Springs,El Dorado,2,20.0
Springs,Humboldt,2,26.0
Springs,Modoc,2,48.0
Springs,Nevada,2,42.0
Springs,Orange,2,15.0
Springs,Sierra,2,50.0
Springs,Trinity,2,53.0
Springs,Amador,1,10.0
Springs,Del Norte,1,6.0
Springs,Marin,1,31.0
Springs,Mariposa,1,25.0
Springs,Merced,1,8.0
Springs,Plumas,1,6.0
Springs,San Benito,1,13.0
Springs,San Mateo,1,37.0
Springs,Santa Cruz,1,38.0
Springs,Stanislaus,1,22.0
Stream Discharge,Los Angeles,4183,110515.0
Stream Discharge,San Diego,3216,80601.0
Stream Discharge,San Bernardino,2938,74783.0
Stream Discharge,Tulare,2905,76715.0
Stream Discharge,Santa Barbara,2614,64716.0
Stream Discharge,Fresno,2594,65181.0
Stream Discharge,Mendocino,2421,68498.0
Stream Discharge,Humboldt,2377,63108.0
Stream Discharge,El Dorado,2252,56589.0
Stream Discharge,Siskiyou,2175,55629.0
Stream Discharge,Tuolumne,2163,54536.0
Stream Discharge,Butte,2089,55428.0
Stream Discharge,Orange,2065,56630.0
Stream Discharge,Shasta,2024,49023.0
Stream Discharge,Calaveras,1997,51489.0
Stream Discharge,Riverside,1973,52045.0
Stream Discharge,Ventura,1958,52001.0
Stream Discharge,Plumas,1750,46991.0
Stream Discharge,Santa Clara,1732,43677.0
Stream Discharge,Placer,1596,46238.0
Stream Discharge,Nevada,1468,39221.0
Stream Discharge,Mariposa,1396,34637.0
Stream Discharge,Sonoma,1316,39183.0
Stream Discharge,Tehama,1297,32160.0
Stream Discharge,San Luis Obispo,1271,33695.0
Stream Discharge,Kern,1183,32086.0
Stream Discharge,Sacramento,1174,33708.0
Stream Discharge,Stanislaus,1151,30604.0
Stream Discharge,Madera,1116,28448.0
Stream Discharge,Alameda,1091,30675.0
Stream Discharge,Monterey,1055,27786.0
Stream Discharge,Lake,1038,28834.0
Stream Discharge,Trinity,1013,27436.0
Stream Discharge,Imperial,922,28071.0
Stream Discharge,Yolo,889,22477.0
Stream Discharge,San Joaquin,796,19179.0
Stream Discharge,Inyo,785,21482.0
Stream Discharge,Merced,780,21873.0
Stream Discharge,Yuba,773,20384.0
Stream Discharge,Santa Cruz,739,18157.0
Stream Discharge,Del Norte,693,18496.0
Stream Discharge,Napa,604,15628.0
Stream Discharge,Contra Costa,575,15956.0
Stream Discharge,Lassen,478,12626.0
Stream Discharge,Modoc,470,11335.0
Stream Discharge,Sierra,469,10894.0
Stream Discharge,San Benito,460,11410.0
Stream Discharge,Amador,456,11872.0
Stream Discharge,San Mateo,443,11976.0
Stream Discharge,Sutter,418,12342.0
Stream Discharge,Mono,398,11552.0
Stream Discharge,Glenn,362,9766.0
Stream Discharge,Marin,332,8517.0
Stream Discharge,Colusa,313,8747.0
Stream Discharge,Alpine,233,5751.0
Stream Discharge,Kings,145,4168.0
Stream Discharge,Solano,128,3125.0
Stream Discharge,San Francisco,49,1254.0
Water Quality,Fresno,38,962.0
Water Quality,Riverside,36,1284.0
Water Quality,San Bernardino,22,758.0
Water Quality,Alameda,18,279.0
Water Quality,Mendocino,13,387.0
Water Quality,Siskiyou,13,312.0
Water Quality,Humboldt,11,170.0
Water Quality,Santa Barbara,11,113.0
Water Quality,Los Angeles,10,191.0
Water Quality,Shasta,10,271.0
Water Quality,Imperial,9,266.0
Water Quality,Mariposa,8,200.0
Water Quality,San Joaquin,8,114.0
Water Quality,Napa,7,193.0
Water Quality,Sacramento,7,206.0
Water Quality,Santa Clara,7,101.0
Water Quality,Solano,7,154.0
Water Quality,Trinity,7,125.0
Water Quality,Tulare,7,228.0
Water Quality,Yolo,7,135.0
Water Quality,Contra Costa,6,139.0
Water Quality,Mono,6,73.0
Water Quality,San Diego,6,136.0
Water Quality,San Luis Obispo,6,81.0
Water Quality,Tehama,6,98.0
Water Quality,Del Norte,5,96.0
Water Quality,Madera,5,78.0
Water Quality,Merced,5,105.0
Water Quality,Plumas,5,63.0
Water Quality,Modoc,4,87.0
Water Quality,Placer,4,60.0
Water Quality,Stanislaus,4,87.0
Water Quality,Tuolumne,4,179.0
Water Quality,Colusa,3,37.0
Water Quality,El Dorado,3,52.0
Water Quality,Monterey,3,40.0
Water Quality,Santa Cruz,3,40.0
Water Quality,Sonoma,3,33.0
Water Quality,Ventura,3,72.0
Water Quality,Butte,2,31.0
Water Quality,Inyo,2,89.0
Water Quality,Orange,2,23.0
Water Quality,San Francisco,2,51.0
Water Quality,San Mateo,2,41.0
Water Quality,Amador,1,55.0
Water Quality,Glenn,1,3.0
Water Quality,Kern,1,15.0
Water Quality,Kings,1,67.0
Water Quality,Lake,1,3.0
