site_no,station_name,latitude,longitude,start_year,end_year,total_measurements
342430119510601,004N028W19P001S,34.40832947,-119.8526383,1941.0,1941.0,2
342431119305301,004N025W20R001S,34.40860579,-119.5156787,1941.0,1955.0,8
342431119305501,004N025W20R002S,34.4086058,-119.5162342,1941.0,1959.0,10
342432119312101,004N025W20P001S,34.40888367,-119.5234569,1941.0,1994.0,47
342432119321401,004N025W19Q002S,34.40888389,-119.53818,1941.0,1941.0,1
342434119414401,004N027W22Q001S,34.40944177,-119.696523,1979.0,2021.0,445
342434119512701,004N028W19N001S,34.40944044,-119.8584717,1941.0,1959.0,5
342434119512702,004N028W19N002S,34.40944044,-119.8584717,1955.0,1956.0,2
342434119514001,004N029W24R001S,34.40944037,-119.8620828,1941.0,1941.0,2
342435119303101,004N025W21N003S,34.40971678,-119.5095672,1941.0,1971.0,140
342435119310801,004N025W20Q001S,34.40971694,-119.5198456,1946.0,1959.0,4
342435119310802,004N025W20Q002S,34.40971694,-119.5198456,1941.0,1952.0,143
342435119314601,004N025W20N002S,34.40971709,-119.5304018,1941.0,1956.0,10
342436119284701,004N025W22R005S,34.40999454,-119.4806769,1949.0,1950.0,4
342436119314001,004N025W20N003S,34.40999484,-119.528735,1948.0,1959.0,8
342436119321301,004N025W19Q004S,34.40999497,-119.5379023,1938.0,1950.0,15
342437119310601,004N025W20K001S,34.41027247,-119.51929,1941.0,1942.0,48
342437119324001,004N025W19N001S,34.41027286,-119.5454027,1938.0,1959.0,8
342437119412901,004N027W22J001S,34.41044444,-119.6915,2005.0,2007.0,11
342437119412902,004N027W22J002S,34.41044444,-119.6915,2005.0,2007.0,11
342438119302101,004N025W21L001S,34.41055006,-119.5067893,1992.0,2001.0,86
342438119310601,004N025W20K004S,34.41055024,-119.51929,1989.0,2001.0,139
342438119331201,004N026W24K002S,34.41055076,-119.5542922,1949.0,1949.0,4
342439119315201,004N025W19J002S,34.4108282,-119.5320686,1940.0,1956.0,15
342439119315202,004N025W19J003S,34.4108282,-119.5320686,1941.0,1941.0,2
342439119315203,004N025W19J004S,34.4108282,-119.5320686,1941.0,1941.0,2
342439119324101,004N025W19M002S,34.4108284,-119.5456805,1938.0,1950.0,13
342439119413201,004N027W22J003S,34.4109722,-119.69225,2005.0,2007.0,11
342440119310601,004N025W20K003S,34.41110579,-119.51929,1949.0,2001.0,268
342441119321701,004N025W19K006S,34.41138385,-119.5390135,1946.0,1959.0,4
342441119322501,004N025W19L001S,34.41138388,-119.5412358,1938.0,1956.0,11
342441119323701,004N025W19M004S,34.4113839,-119.5445694,1951.0,1959.0,3
342442119320501,004N025W19K008S,34.41166157,-119.5356799,1951.0,1951.0,2
342442119412801,004N027W22J004S,34.41188889,-119.6912778,2005.0,2007.0,11
342443119321301,004N025W19K002S,34.41193938,-119.5379023,1938.0,1941.0,3
342443119330301,004N026W24J001S,34.41193958,-119.551792,1941.0,1956.0,11
342444119313601,004N025W20M002S,34.412217,-119.5276239,1923.0,1959.0,15
342444119314301,004N025W20M003S,34.412217,-119.5295685,1945.0,1946.0,2
342444119421801,004N027W22M001S,34.41221965,-119.7059682,1991.0,2021.0,332
342444119421802,004N027W22M002S,34.41221965,-119.7059682,1991.0,2021.0,330
342444119511901,004N028W19L003S,34.4122182,-119.8562495,1941.0,1941.0,2
342444119512101,004N028W19L002S,34.4122182,-119.856805,1941.0,1941.0,2
342445119320401,004N025W19K005S,34.41249488,-119.5354022,1946.0,2001.0,83
342445119323601,004N025W19M001S,34.412495,-119.5442916,1938.0,1948.0,4
342446119313801,004N025W20M004S,34.41277255,-119.5281795,1940.0,1950.0,5
342446119315701,004N025W19J005S,34.4127726,-119.5334576,1941.0,2001.0,498
342446119321301,004N025W19K003S,34.41277269,-119.5379023,1938.0,1959.0,6
342446119332101,004N026W24K001S,34.41277297,-119.5567924,1949.0,1949.0,1
342446119511201,004N028W19L001S,34.4127738,-119.854305,1941.0,1941.0,2
342446119513901,004N029W24J001S,34.41277365,-119.8618051,1941.0,1941.0,2
