site_index,site_id,station_name,data_type,start_year,end_year,year_start,year_end,decade_start,decade_end,decade,closest_stream_order,distance_to_stream_km,longitude,latitude
683,,Unknown,Historical,1965,1966,1965,1966,1960,1960,1960,1,0.2010231746575027,-120.1433,34.625
684,,Unknown,Historical,1906,1939,1906,1939,1900,1930,1900,5,0.03465305,-120.4305556,34.64166667
685,,Unknown,Historical,1948,1949,1948,1949,1940,1940,1940,2,0.069200517,-120.0236,34.5889
691,,Unknown,Historical,1947,1952,1947,1952,1940,1950,1940,5,0.081994727,-120.455556,34.669444
692,,Unknown,Historical,1928,1931,1928,1931,1920,1930,1920,1,0.07367326,-119.6022,34.6333
693,,Unknown,Historical,1942,1943,1942,1943,1940,1940,1940,2,0.069200517,-120.0236,34.5889
694,,Unknown,Historical,1954,1959,1954,1959,1950,1950,1950,5,0.093677816,-120.196,34.607
695,,Unknown,Historical,,,,,,,,1,0.5800860926329673,-120.03,34.69
696,,Unknown,Historical,1934,1935,1934,1935,1930,1930,1930,2,0.08883855,-120.0155,34.6293
697,,Unknown,Historical,1947,1975,1947,1975,1940,1970,1940,5,0.007558696,-119.8639,34.5436
698,,Unknown,Historical,1943,1944,1943,1944,1940,1940,1940,5,0.4085946395271208,-119.683333,34.527778
699,,Unknown,Historical,1941,1965,1941,1965,1940,1960,1940,4,0.14787891005140041,-120.4075,34.5888889
700,,Unknown,Historical,,,,,,,,5,0.25164373902755727,-120.4408,34.6569
701,,Unknown,Historical,1947,1950,1947,1950,1940,1950,1940,5,0.030936888552751153,-120.425,34.6375
702,,Unknown,Historical,,,,,,,,2,0.088891412,-120.3786,34.6839
703,,Unknown,Historical,1906,1918,1906,1918,1900,1910,1900,2,1.5297387600554924,-120.4601,34.6464
704,,Unknown,Historical,,,,,,,,1,0.8458658274040063,-120.4172,34.7165
705,,Unknown,Historical,1936,1937,1936,1937,1930,1930,1930,5,0.034656038,-120.4305556,34.6416667
706,,Unknown,Historical,1935,1965,1935,1965,1930,1960,1930,5,0.17731596710353056,-119.995833,34.591667
708,,Unknown,Historical,1906,1948,1906,1948,1900,1940,1900,5,0.034656038,-120.4305556,34.6416667
